round,accuracy,precision,recall,f1,recall_normal,f1_macro
0,0.8074852922768807,0.8016193026031418,0.999919526817688,0.8898556952053568,0.1341686611291004,0.5631954077913108
1,0.9954625109525598,1.0,0.9941656942823804,0.9970743124634289,1.0,0.9934852434730217
2,0.9982319439228939,0.9998588908823351,0.9978674606687321,0.9988621831985742,0.9995072504575532,0.9974494003222362
3,0.9983101764926774,0.9999193645929928,0.9979076972598881,0.9989125181246978,0.9997184288328875,0.9975623196684095
4,0.9984666416322443,0.9998589335375438,0.9981692351024021,0.9990133698453608,0.9995072504575532,0.9977871453381773
5,0.9985292276880711,0.999919387343813,0.9981893533979801,0.999053621408292,0.9997184288328875,0.9978775721610904
6,0.9944454875453749,0.9998987054557241,0.9929585965477005,0.9964165665660614,0.9996480360411094,0.9920358730872523
7,0.9990299161346852,0.999879168680522,0.9988733754476321,0.9993760190012279,0.9995776432493313,0.9985988379736657
8,0.9988108649392915,0.9997180716098111,0.9987526656741641,0.9992351354615353,0.9990145009151062,0.9982823604222645
9,0.998936037050945,0.9997382409793815,0.9988934937432101,0.99931568883969,0.9990848937068845,0.9984629333352875
10,0.9988578044811616,0.9999194214459821,0.9986118376051181,0.999265201767542,0.9997184288328875,0.9983508647458351
